Species,RoostCode,MaxCountInAnyYear,County,Region,Country
Bat (species unknown),5100232,403,Devon,South West,England
Bat (species unknown),5100523,383,Worcestershire,West Midlands,England
Bat (species unknown),5101029,326,Cambridgeshire,East of England,England
Bat (species unknown),5100785,303,Monmouthshire,Wales,Wales
Bat (species unknown),1121272,285,Lincolnshire,East Midlands,England
Bat (species unknown),5100692,270,Lancashire,North West,England
Bat (species unknown),1121230,218,Worcestershire,West Midlands,England
Bat (species unknown),5100113,202,Antrim,Northern Ireland,Northern Ireland
Bat (species unknown),5100395,200,Channel Islands,Channel Islands,British Crown Dependencies
Bat (species unknown),5100587,198,Oxfordshire,South East,England
Bat (species unknown),5100835,177,Pembrokeshire,Wales,Wales
Bat (species unknown),5100684,169,Monmouthshire,Wales,Wales
Bat (species unknown),5100680,143,Kent,South East,England
Bat (species unknown),5100718,130,Northamptonshire,East Midlands,England
Bat (species unknown),3120129,104,Ceredigion,Wales,Wales
Bat (species unknown),5100248,103,Northamptonshire,East Midlands,England
Bat (species unknown),5100737,102,Cambridgeshire,East of England,England
Bat (species unknown),5100666,97,East Sussex,South East,England
Bat (species unknown),1121242,91,Suffolk,East of England,England
Bat (species unknown),5100326,86,Shropshire,West Midlands,England
Bat (species unknown),5100361,86,South Yorkshire,Yorkshire and The Humber,England
Bat (species unknown),5100929,86,West Yorkshire,Yorkshire and The Humber,England
Bat (species unknown),5100565,85,Suffolk,East of England,England
Bat (species unknown),5100202,84,Swindon,South West,England
Bat (species unknown),5100859,75,Wiltshire,South West,England
Bat (species unknown),5100160,72,Staffordshire,West Midlands,England
Bat (species unknown),5100693,70,Essex,East of England,England
Bat (species unknown),5100676,68,Bath and North East Somerset,South West,England
Bat (species unknown),5100699,68,Hampshire,South East,England
Bat (species unknown),5100343,67,Norfolk,East of England,England
Bat (species unknown),5100717,65,Staffordshire,West Midlands,England
Bat (species unknown),5100399,65,The Vale of Glamorgan,Wales,Wales
Bat (species unknown),5100426,61,Suffolk,East of England,England
Bat (species unknown),5101103,60,Buckinghamshire,South East,England
Bat (species unknown),1121276,58,Merseyside,North West,England
Bat (species unknown),5101108,57,Nottinghamshire,East Midlands,England
Bat (species unknown),5100655,56,Shropshire,West Midlands,England
Bat (species unknown),5100132,54,Lincolnshire,East Midlands,England
Bat (species unknown),5100764,51,Buckinghamshire,South East,England
Bat (species unknown),1121215,49,Cheshire,North West,England
Bat (species unknown),5100360,48,Herefordshire,West Midlands,England
Bat (species unknown),5100679,47,Cheshire,North West,England
Bat (species unknown),5100876,47,Isle of Wight,South East,England
Bat (species unknown),5100103,43,Cornwall,South West,England
Bat (species unknown),5100096,43,Worcestershire,West Midlands,England
Bat (species unknown),5100985,42,Antrim,Northern Ireland,Northern Ireland
Bat (species unknown),5100796,40,Highland,Scotland,Scotland
Bat (species unknown),5100522,39,Scottish Borders,Scotland,Scotland
Bat (species unknown),5100230,36,Gloucestershire,South West,England
Bat (species unknown),5100936,29,Nottinghamshire,East Midlands,England
Bat (species unknown),5100287,28,Devon,South West,England
Bat (species unknown),5100662,26,Monmouthshire,Wales,Wales
Bat (species unknown),5100342,23,Hertfordshire,East of England,England
Bat (species unknown),5100329,22,Northamptonshire,East Midlands,England
Bat (species unknown),5100789,22,Devon,South West,England
Bat (species unknown),5100732,20,Aberdeen City,Scotland,Scotland
Bat (species unknown),5100704,20,North Yorkshire,Yorkshire and The Humber,England
Bat (species unknown),5100773,19,Kent,South East,England
Bat (species unknown),5100373,19,Highland,Scotland,Scotland
Bat (species unknown),5100950,19,Nottinghamshire,East Midlands,England
Bat (species unknown),1120997,17,Isle of Wight,South East,England
Bat (species unknown),5100708,15,Lincolnshire,East Midlands,England
Bat (species unknown),5100325,8,Norfolk,East of England,England
Bat (species unknown),5100720,7,Norfolk,East of England,England
Bat (species unknown),5101026,7,Buckinghamshire,South East,England
Bat (species unknown),5100478,6,Herefordshire,West Midlands,England
Bat (species unknown),5101046,5,Gwynedd,Wales,Wales
Bat (species unknown),5100036,5,West Berkshire,South East,England
Bat (species unknown),5100931,4,Kent,South East,England
Bat (species unknown),5100337,4,Kent,South East,England
Bat (species unknown),5100912,3,Scottish Borders,Scotland,Scotland
Bat (species unknown),5100538,2,Worcestershire,West Midlands,England
Bat (species unknown),5100199,1,Dorset,South West,England
Bat (species unknown),5100102,1,Pembrokeshire,Wales,Wales
Bat (species unknown),5101045,1,West Midlands,West Midlands,England
Bat (species unknown),5100414,1,Nottinghamshire,East Midlands,England
Bat (species unknown),5100499,1,Nottinghamshire,East Midlands,England
Bat (species unknown),5100855,1,Cambridgeshire,East of England,England
Bat (species unknown),5101127,1,Surrey,South East,England
Bechstein's bat,5100075,131,West Sussex,South East,England
Brandt's bat,5100309,242,Cumbria,North West,England
Brandt's bat,5100128,129,Lancashire,North West,England
Brandt's bat,1060001,104,Cumbria,North West,England
Brandt's bat,5101101,9,Derbyshire,East Midlands,England
Brandt's bat,3060001,4,Ceredigion,Wales,Wales
Brown long-eared bat,1150059,252,Derbyshire,East Midlands,England
Brown long-eared bat,2150002,177,Highland,Scotland,Scotland
Brown long-eared bat,1150094,165,Norfolk,East of England,England
Brown long-eared bat,1150093,131,Cumbria,North West,England
Brown long-eared bat,1150072,129,Cornwall,South West,England
Brown long-eared bat,1150021,124,Rutland,East Midlands,England
Brown long-eared bat,1150028,120,Hampshire,South East,England
Brown long-eared bat,2150012,116,Argyll and Bute,Scotland,Scotland
Brown long-eared bat,1150101,112,Derbyshire,East Midlands,England
Brown long-eared bat,1150049,110,East Sussex,South East,England
Brown long-eared bat,5100568,109,Northamptonshire,East Midlands,England
Brown long-eared bat,5100580,108,Ceredigion,Wales,Wales
Brown long-eared bat,1150037,107,Lancashire,North West,England
Brown long-eared bat,5100409,106,Cheshire East,North West,England
Brown long-eared bat,1150053,104,Redcar and Cleveland,North East,England
Brown long-eared bat,1150085,104,Worcestershire,West Midlands,England
Brown long-eared bat,2150016,101,Aberdeenshire,Scotland,Scotland
Brown long-eared bat,1150116,100,Devon,South West,England
Brown long-eared bat,2150037,97,Stirling,Scotland,Scotland
Brown long-eared bat,2150023,95,Midlothian,Scotland,Scotland
