Species,IUCN.Red.List.Status,iucn_2cat,Order,Family,Genus,Age_at_maturity_min_y,Age_at_maturity_max_y,Body_size_mm,Longevity_max_y,Litter_size_min_n,Litter_size_max_n,Reproductive_output_y,Offspring_size_min_mm,Offspring_size_max_mm,Development,migrations_reported,dispersal_dist_max_m,home_range_max_m2,breeding_habitat,breeding_habitat_2cat,incubation_period_min_d,incubation_period_max_d,larval_period_min_d,larval_period_max_d,larval_period_4cat,neoteny,dessication_avoidance_reported,inactive_during_cold_reported,pi_cytb_5up,Slope_Max,Slope_Min,Slope_Mean,Slope_SD,Alt_Max,Alt_Min,Alt_Average,Alt_SD,Bio1_Max,Bio1_Min,Bio1_Average,Bio1_SD,Bio10_Max,Bio10_Min,Bio10_Average,Bio10_SD,Bio11_Max,Bio11_Min,Bio11_Average,Bio11_SD,Bio12_Max,Bio12_Min,Bio12_Average,Bio12_SD,Bio13_Max,Bio13_Min,Bio13_Average,Bio13_SD,Bio14_Max,Bio14_Min,Bio14_Average,Bio14_SD,Bio15_Max,Bio15_Min,Bio15_Average,Bio15_SD,Bio16_Max,Bio16_Min,Bio16_Average,Bio16_SD,Bio17_Max,Bio17_Min,Bio17_Average,Bio17_SD,Bio18_Max,Bio18_Min,Bio18_Average,Bio18_SD,Bio19_Max,Bio19_Min,Bio19_Average,Bio19_SD,Bio2_Max,Bio2_Min,Bio2_Average,Bio2_SD,Bio3_Max,Bio3_Min,Bio3_Average,Bio3_SD,Bio4_Max,Bio4_Min,Bio4_Average,Bio4_SD,Bio5_Max,Bio5_Min,Bio5_Average,Bio5_SD,Bio6_Max,Bio6_Min,Bio6_Average,Bio6_SD,Bio7_Max,Bio7_Min,Bio7_Average,Bio7_SD,Bio8_Max,Bio8_Min,Bio8_Average,Bio8_SD,Bio9_Max,Bio9_Min,Bio9_Average,Bio9_SD,Total_Area,Lat_min,Lat_max,GBIF_occurrences,gbif_corrected,gbif_thinned,subsampPREthin,SDM_dataset,cytb5up,Lat_Extent,Lat_Midpoint,Elev_Extent,Elev_Midpoint,Slope_Range,gene,n_ind,n_bp,pi,FST_msat,AR_msat,median_pi_n5,overall_pi,hdi.lower95,cur.area.95,lgm.area.95,overlap.area.95,overlap.index.95,rel.range.size.95,hdi.lower99,cur.area.99,lgm.area.99,overlap.area.99,overlap.index.99,rel.range.size.99
Acris blanchardi,NA,NA,Anura,Hylidae,Acris,1,1,38,1.5,150,400,1,1,1.1,larval,yes,1600,NA,permanent,aquatic,3,4,35,70,short,no,yes,yes,1,0.092031575,0,0.003344338,0.00359374,2056,-4,369.4740243,297.510083,239,56,139.6505117,41.27909751,312,189,248.2655933,24.7468323,166,-96,22.1015535,59.75372402,1704,228,876.6679669,292.2344195,227,38,112.4536473,23.93841309,113,4,37.73296837,24.35060914,91,10,37.11213356,16.4193666,564,111,301.306287,66.8786513,360,13,133.3471615,82.23096114,557,84,259.5034376,62.49148161,473,18,146.3833822,105.1571973,188,79,131.5694933,15.54343902,50,25,34.55486946,5.128712774,11683,4717,8745.476554,1438.176988,392,266,325.8822639,23.51966123,107,-175,-53.56106689,58.77882296,469,223,379.4433308,43.63431492,300,71,204.927295,38.50030552,287,-96,52.14050016,99.94460372,2283787.573,25.4932168,44.68537377,9809,4653,1490,NA,thinned,1,19.19215697,35.08929529,2060,1026,0.092031575,CYTB,38,689,0.00553985,NA,NA,0.006033837,0.00553985,527.8,84102,1329,761,0.009048536,-62.28216704,297.2,126651,9414,4516,0.035657042,-12.45347355
Acris crepitans,Least Concern (LC),LC,Anura,Hylidae,Acris,1,1,38,4.9,40,500,2,1.3,1.5,larval,yes,1300,NA,permanent,aquatic,4,4,50,90,short,no,yes,yes,1,0.102965135,0,0.005035673,0.007534135,1670,-8,190.0551023,169.0384061,200,44,149.3430795,27.13744335,274,153,243.5941761,18.79602622,123,-76,48.6715695,36.33462052,2043,894,1283.55019,166.8468512,218,91,138.7169059,23.42075299,154,49,76.31900197,10.41921744,38,7,16.56543401,4.79702971,589,268,381.1135791,57.31211419,480,171,256.6276226,33.05769369,580,259,339.0392425,50.51993226,523,171,326.5126739,70.20152118,148,89,128.7842553,8.39469602,46,26,38.09972409,3.618172256,9459,5664,7552.832589,743.0080997,339,216,313.9216936,16.75903637,59,-137,-21.22932174,33.68930727,398,261,335.1510153,21.02484455,272,8,168.7795312,68.27464984,234,-66,138.7771095,77.02801401,882060.972,29.96738815,42.46528383,12169,1560,568,NA,thinned,1,12.49789568,36.21633599,1678,831,0.102965135,CYTB,11,722,0.049563248,NA,NA,0.05456742,0.049563248,584.4000244,37974,1063,582,0.015326276,-34.72342427,340.2000122,65142,9065,3854,0.059163059,-6.186100386
Acris gryllus,Least Concern (LC),LC,Anura,Hylidae,Acris,1,1,33,1,99,250,1,0.9,1.4,larval,no,NA,NA,generalist_aquatic,aquatic,4,4,50,90,short,no,no,no,1,0.041298218,0,0.001834458,0.001713881,916,-14,77.3796774,68.57285388,244,116,181.031065,21.54080071,280,203,261.5234888,8.319865041,203,24,93.79595938,35.22109889,1844,616,1344.900396,131.1297511,276,92,161.9856623,25.48204881,124,23,69.3150763,13.41485044,69,9,25.82840928,11.74427765,672,236,444.4576386,66.21732296,407,103,239.5070874,43.38204228,660,236,399.4953022,88.44420162,496,123,330.0458915,81.46725996,147,68,127.6484006,9.481263176,54,30,41.85678597,4.220940553,8453,3021,6529.70252,1081.33532,340,270,326.7670124,6.545185711,159,-47,22.5223755,36.12377156,356,154,304.2446369,34.68766548,278,38,195.3771792,76.23757432,239,29,176.8759029,36.80886389,667451.5463,24.94721466,37.56552354,6534,1701,729,NA,thinned,1,12.61830888,31.2563691,930,451,0.041298218,CYTB,24,724,0.013361612,NA,NA,0.018213839,0.013361612,619.2,28924,7350,582,0.020121698,-2.935238095,399.2,39456,16228,2398,0.060776561,-1.431353217
Ambystoma barbouri,Near Threatened (NT),nonLC,Caudata,Ambystomatidae,Ambystoma,NA,NA,168,NA,260,260,1,2.4,3.8,larval,yes,NA,NA,ephemeral,aquatic,NA,NA,42,63,short,no,yes,no,1,0.017272005,8.84E-05,0.003723327,0.002331656,424,98,246.0336503,50.37549093,146,100,121.8785662,8.862520783,250,212,229.616435,6.688753799,40,-26,5.130212143,12.3760436,1414,936,1143.017313,79.98705653,153,98,120.3408925,6.645912596,87,53,70.2843209,4.866673172,21,12,16.08436967,1.634745307,406,291,337.8683248,17.40404281,289,178,238.8434528,21.26727417,346,275,308.7759083,14.55702881,377,178,252.4498903,36.01822355,142,108,123.0236528,5.235915036,39,29,33.34991465,1.74906752,9429,7857,8677.919532,293.2841249,322,286,302.4669593,6.449745183,-28,-90,-61.07827359,10.82469933,381,345,363.5452329,6.439907197,218,108,156.8310168,41.96445039,206,-26,97.45013411,89.56834297,69056.5622,35.6199807,40.19984945,137,98,45,NA,thinned,1,4.57986875,37.90991508,326,261,0.017183605,CYTB,61,1143,0.037433095,NA,NA,0.040860215,0.037433095,714.2,6330,0,0,0,NA,349,20940,4917,0,0,-3.258694326
Ambystoma jeffersonianum,Least Concern (LC),LC,Caudata,Ambystomatidae,Ambystoma,2,3,210,3,140,280,1,2,2.5,larval,yes,1610,NA,ephemeral,aquatic,21,98,60,120,mid,no,yes,yes,1,0.082570776,3.47E-18,0.008624615,0.008708882,1298,-8,329.3980459,180.8683383,140,13,93.74965474,22.63527069,246,130,204.788358,19.92766035,29,-114,-25.84815633,26.83368439,1624,726,1074.088869,105.9881946,161,79,111.3350366,9.955663903,115,34,66.77447866,10.06484327,32,6,15.08006491,3.707792332,439,221,314.1339939,26.61417473,357,106,219.4110965,32.82171846,433,213,301.3823712,24.04163935,376,106,225.2317014,37.03923481,145,82,119.3480182,7.728067359,39,25,31.78231598,2.448548702,10556,7510,8918.824127,470.1503657,319,191,280.1962781,18.82276513,-38,-179,-90.02896699,27.3173429,425,315,370.2252451,15.23874895,237,-29,168.5816186,40.13647267,214,-104,0.794952355,70.32552275,470696.22,36.59398163,45.00586753,1765,438,228,NA,thinned,1,8.4118859,40.79992458,1306,645,0.082570776,CYTB,17,752,0.007189542,NA,NA,0.007189542,0.007189542,629,33701,89,0,0,-377.6629213,385.8,50382,4128,0,0,-11.20494186
Ambystoma laterale,Least Concern (LC),LC,Caudata,Ambystomatidae,Ambystoma,2,2,140,13,196,250,1,NA,NA,larval,yes,405,NA,ephemeral,aquatic,21,28,60,90,short,no,yes,yes,1,0.102107093,0,0.005803877,0.007042702,1485,-8,320.543499,151.466377,120,-59,21.83637677,34.72788299,232,77,158.3803597,27.40179904,8,-214,-130.6529616,49.34832018,1884,486,896.6085813,171.2777674,189,74,105.8561543,13.19483429,140,11,44.65112684,18.98287456,64,6,28.36405663,12.02571229,511,210,299.9068044,38.25238848,439,42,150.6934845,56.64154816,481,195,287.8197414,32.38779952,456,42,166.6103438,69.51496582,136,59,112.2656169,11.33242707,33,19,25.08154435,2.541474671,13840,5652,11191.45912,1287.175741,299,141,234.7809087,30.23123654,-43,-296,-206.2614057,57.05894565,515,223,441.0423144,45.62457567,225,-68,136.5440118,47.77917659,214,-209,-83.70127853,61.28138387,1977261.384,40.13815935,56.232226,2709,1235,479,NA,thinned,1,16.09406665,48.18519268,1493,738.5,0.102107093,CYTB,36,1141,0.003174603,NA,NA,0.005214171,0.003174603,473.6,102360,49206,0,0,-1.080234118,300.6,149724,75095,0,0,-0.993794527
Ambystoma macrodactylum,Least Concern (LC),LC,Caudata,Ambystomatidae,Ambystoma,1,3,248,10,90,411,1,2,2.3,larval,yes,1170,281.6,generalist_aquatic,aquatic,5,35,50,1095,long,no,yes,yes,1,0.248516947,4.53E-05,0.039516431,0.03134472,3691,-3,1174.946856,560.0308454,171,-71,37.83774602,38.82908664,262,5,132.3421267,34.73799412,105,-174,-55.63228958,51.85196708,3866,166,826.7701882,564.760276,587,22,116.3385953,91.73195066,161,1,29.95052156,19.94654077,91,14,36.90562054,15.15421838,1512,60,322.5302715,256.0837528,543,5,108.5110885,63.63259135,823,7,150.3310718,74.42487973,1455,17,279.708628,238.1079492,188,42,118.0852918,26.24689261,60,24,34.85958717,5.518794217,11591,2425,7378.251068,1371.250795,369,60,221.558427,47.74357001,46,-247,-113.3341234,60.81451978,446,138,334.8925504,57.21956863,194,-126,16.2995768,70.87371926,262,-124,62.36737455,91.42623125,1443398.788,36.67851044,58.97492545,3954,1141,533,NA,thinned,1,22.29641501,47.82671795,3694,1844,0.248471647,CYTB,89,753,0.029033061,0.208231034,4.431384615,0.027441023,0.029033061,445.4,65563,39936,16703,0.254762595,-0.641701723,118.4,153340,199671,80588,0.525551063,0.302145559
Ambystoma maculatum,Least Concern (LC),LC,Caudata,Ambystomatidae,Ambystoma,2,3,248,32,144,370,1,2,2.8,larval,yes,756,14,ephemeral,aquatic,28,49,42,365,long,no,yes,yes,1,0.102965139,0,0.005832915,0.007070448,1670,-14,273.2123935,177.425736,199,-43,87.40424695,60.85614035,282,109,202.5036881,43.34090171,118,-215,-38.45495086,83.23085604,2043,650,1091.476533,203.1301371,205,74,120.1115323,21.73446343,154,13,62.64465377,17.65133207,56,6,19.83071453,7.822673387,549,211,335.1736376,54.96767158,480,53,209.2369843,55.60053043,510,180,302.3199822,44.40163387,523,53,243.8220766,86.25613609,150,59,118.4955405,12.44680022,45,20,30.92844956,6.053259763,12933,5652,9324.127363,1655.367645,358,161,276.2378476,42.28731251,59,-291,-108.7480487,85.85239118,514,223,384.9858963,49.64161019,275,-65,146.645088,62.04760358,282,-195,25.55120962,120.0391432,3105940.772,29.96423721,52.49471396,7604,4216,1584,NA,thinned,1,22.53047675,41.22947559,1684,828,0.102965139,CYTB,5,794,0.033944954,0.070992754,4.81745614,0.033944954,0.033944954,557,121626,17734,8075,0.066392054,-5.85835119,256.6,183175,56465,45437,0.248052409,-2.244044984
Ambystoma texanum,Least Concern (LC),LC,Caudata,Ambystomatidae,Ambystoma,2,2,191,13.8,550,700,1,1.6,2.5,larval,yes,125,NA,ephemeral,aquatic,14,56,60,120,mid,no,yes,no,1,0.040317029,0,0.002678752,0.002446633,743,0,192.6771911,113.2932366,219,81,149.3957769,33.07745852,291,195,252.6494989,20.2756389,141,-63,36.83010321,49.04233979,1704,565,1112.569492,235.4136952,207,69,129.8709488,21.06679117,113,12,56.6078796,21.40532462,53,10,25.37738204,9.583411798,564,175,350.2432642,55.98087814,360,54,196.6388539,69.75302635,554,152,287.4215223,54.01819297,473,54,234.0050542,114.0252813,155,79,125.681247,8.87478969,45,24,34.70397225,4.28804526,10925,5571,8345.232619,1214.255777,367,266,325.9354183,19.69144449,80,-133,-34.76453557,47.40220213,432,248,360.6999538,35.9765362,284,50,186.3155957,45.8761783,287,-63,100.9661679,109.4368884,1389181.657,27.90135768,42.78221311,2010,910,476,NA,thinned,1,14.88085543,35.3417854,743,371.5,0.040317029,CYTB,31,1141,0.037201091,0.033566667,NA,0.033455968,0.037201091,588.5999756,49176,39,9,0.000183016,-1259.923077,364,78653,1238,228,0.002898809,-62.53231018
Ambystoma tigrinum,Least Concern (LC),LC,Caudata,Ambystomatidae,Ambystoma,4,4,330,25,421,7000,1,2,3,larval,yes,600,NA,generalist_aquatic,aquatic,19,50,70,150,mid,some,yes,yes,1,0.206204787,0,0.011951735,0.016613585,4521,-1,1047.876493,732.2365435,260,-54,106.1478549,59.90044817,340,43,214.1537028,43.37151243,206,-171,-7.237049619,84.65513629,3688,67,539.4680543,285.168024,655,11,84.40628451,39.08615644,112,0,18.32815921,16.52542532,125,5,51.51226096,21.21423243,1760,26,221.3059396,101.991786,366,2,65.70407386,57.31948127,1238,19,189.7744654,89.1221843,818,6,78.5085281,72.47638596,213,79,146.5526895,20.73174741,77,21,38.04713545,9.592754262,13286,890,8601.550051,2359.834923,428,120,305.3576217,37.80174321,156,-255,-87.85624286,83.02254264,514,164,393.2138645,63.86327019,326,-135,178.3807906,68.6001266,287,-171,33.23870293,107.0641878,5148908.412,18.86959557,52.86636684,7391,1692,1183,NA,thinned,1,33.99677127,35.86798121,4522,2260,0.206204787,CYTB,11,1141,0.035342186,0.170691667,2.771428571,0.031279045,0.035342186,459.2,281980,133573,71766,0.254507412,-1.111055378,289.2,454721,241619,164299,0.361318259,-0.881975341
